id,group,acc,other_pref,condition1
257,2,74,p,2:p
258,2,84,i,2:i
258,2,NA,p,2:p
259,2,92,i,2:i
259,2,92,p,2:p
260,2,88,i,2:i
260,2,98,p,2:p
262,2,88,i,2:i
262,2,76,p,2:p
263,2,74,i,2:i
263,2,84,p,2:p
264,2,66,i,2:i
264,2,94,p,2:p
265,2,84,i,2:i
265,2,80,p,2:p
266,2,84,i,2:i
266,2,NA,p,2:p
267,2,80,i,2:i
267,2,86,p,2:p
268,2,80,i,2:i
268,2,92,p,2:p
269,2,78,i,2:i
269,2,84,p,2:p
270,2,82,i,2:i
270,2,82,p,2:p
271,2,80,i,2:i
271,2,84,p,2:p
272,2,90,i,2:i
272,2,NA,p,2:p
274,2,72,i,2:i
274,2,88,p,2:p
275,2,90,i,2:i
275,2,NA,p,2:p
276,2,84,i,2:i
276,2,76,p,2:p
277,2,84,i,2:i
277,2,84,p,2:p
278,2,88,i,2:i
278,2,80,p,2:p
279,2,80,i,2:i
279,2,80,p,2:p
280,2,90,i,2:i
280,2,86,p,2:p
299,2,78,i,2:i
299,2,74,p,2:p
