id,group,self_1_km,self_1_ku,norm_kl,WTAW_Standard,other_pref,condition1,centred_self_1_km
101,1,-3.2309156194144624,1.4322795958829484,1.4102620512038007,119,p,1:p,1.7455943347770253
102,1,-4.703907818194412,1.3679058990958266,0.1976259583703992,127,p,1:p,0.27260213599707583
103,1,-8.115129207166166,1.4150242180565564,NA,117,p,1:p,-3.138619252974679
104,1,-4.876178804069776,1.0286009444081896,-0.04850160992725895,110,p,1:p,0.10033115012171123
105,1,-4.23312678529372,1.6994473481415735,0.3480526967347316,115,p,1:p,0.7433831688977675
106,1,-7.584722940673151,1.8477423955558376,0.6260393327321389,113,p,1:p,-2.6082129864816634
107,1,-4.4681528477625605,0.8541457166754172,1.6915378330473663,103,p,1:p,0.5083571064289272
108,1,-4.140872077757271,0.928461450053481,-0.6229671270934778,115,p,1:p,0.8356378764342169
109,1,-9.868682621521657,2.9762288928440683,NA,108,p,1:p,-4.892172667330169
112,1,-2.9610030935060005,1.168504496904912,0.1854531296117716,129,p,1:p,2.015506860685487
113,1,-3.577901039199319,0.6499107428035121,1.0161358233749627,119,p,1:p,1.3986089149921686
114,1,-5.990265151094235,1.739931625647437,0.3789455550702309,111,p,1:p,-1.0137551969027472
115,1,-3.444019910926108,1.1164464394062121,0.34608361778410546,117,p,1:p,1.5324900432653799
116,1,-8.535370213511937,1.2611470119135568,NA,129,p,1:p,-3.5588602593204497
117,1,-2.527889760350102,0.8348473837230045,0.4898163882229629,99,p,1:p,2.4486201938413856
119,1,-2.9291673249204906,1.6995043919256576,0.4575401005509857,101,p,1:p,2.047342629270997
120,1,-7.164135740699879,2.453226493091423,0.37809123473029876,129,p,1:p,-2.1876257865083915
121,1,-4.39497769540722,1.3124146217077528,0.8296144510016827,106,p,1:p,0.581532258784268
122,1,-4.364552539151865,2.0806587549765236,0.010356197201928014,117,p,1:p,0.6119574150396225
123,1,-4.949771167963813,1.6912951347942433,0.604893279799482,122,p,1:p,0.026738786227674893
124,1,-2.201627454883645,1.018684543984782,0.3943880956960673,104,p,1:p,2.7748824993078425
125,1,-6.718023066408085,1.1255494417381278,0.4204459064052924,119,p,1:p,-1.7415131122165972
126,1,-4.049386178681408,1.3537508424733276,0.39943306456683075,122,p,1:p,0.9271237755100801
127,1,-3.7031559948906914,1.1655081386931638,0.43779626864470544,113,p,1:p,1.2733539593007963
128,1,-4.501216292715041,1.7450588897999926,0.48791918321360206,113,p,1:p,0.4752936614764467
129,1,-4.888869909682752,0.9917927506800956,-0.10557943785357597,115,p,1:p,0.08764004450873575
130,1,-4.20394713953275,2.4593473705231665,-0.13867772741474102,117,p,1:p,0.7725628146587376
131,1,-2.9389838660547,1.631113556486306,-0.012101822362640338,122,p,1:p,2.037526088136788
132,1,-3.5395026296196055,1.1009505670818176,0.35775824272700435,111,p,1:p,1.4370073245718822
133,1,-2.01609094168325,1.2723134392463133,0.1397848307767756,127,p,1:p,2.9604190125082375
134,1,-6.116114967487991,2.402880974219876,0.6009927033446973,124,p,1:p,-1.139605013296503
135,1,-3.8127458433312262,0.7211392354004477,0.1914027570300218,126,p,1:p,1.1637641108602614
136,1,-5.957630498066076,1.0086275747286217,0.2808861566232228,122,p,1:p,-0.9811205438745887
137,1,-5.845252533398878,1.3210239740610146,0.6029482889617419,124,p,1:p,-0.8687425792073906
138,1,-10.984925801427956,0.8695211827575792,NA,101,p,1:p,-6.008415847236468
